loja da caldeira
relatório contas a pagar
emitido em  4 de julho de 2023        às 09:38                                                        página:    1
agrupado por classificação e ordenado por data vecto
nr.docu  seq/parc    cód.fo  razão fornecedo                      data ve  vlr bruto     ep  cód.r  plano conta
29805       4162 -      177  plasnox ind. com. de plasticos ltda  09/06/2023      1,523.03   1  2501   compra de mercador
329518      4196 -      165  elinox central de aço inox. ltda.    09/06/2023      3,636.77   1  2501   compra de mercador
4038308     4203 -      224  duratex s.a.                         09/06/2023        233.02   1  2501   compra de mercador
12/202     3778 -       51  vaportech comercio e serviços eirel  10/06/2023     10,933.15   1  2410   financiamento
188250      4194 -      265  famabras ind. de apar. de medição l  10/06/2023      1,118.44   1  2501   compra de mercador
01/36       1060 -       50  loja da caldeira com de peças ltda.  11/06/2023      4,589.00   1  2410   financiamento
241054      4132 -       19  metalurgica golden arts ltda.        11/06/2023      2,629.30   1  2501   compra de mercador
13121       4137 -      474  lgm comercio de aluminios ltda       11/06/2023      2,987.30   1  2501   compra de mercador
633856      4175 -      179  inox-tech com. de aços inoxidaveis   11/06/2023      2,955.60   1  2501   compra de mercador
213243      1735 -      493  expresso são miguel s/a campinas     12/06/2023        130.50   1  2502   pgto. frete compra
1436752     1737 -      341  expresso são miguel ltda.            12/06/2023        353.07   1  2502   pgto. frete compra
945467      1741 -       29  transperola transp. rodoviarios ltd  12/06/2023        372.17   1  2502   pgto. frete compra
945114      1743 -       29  transperola transp. rodoviarios ltd  12/06/2023      1,581.80   1  2502   pgto. frete compra
2023        3895 -       50  loja da caldeira com de peças ltda.  12/06/2023     46,493.94   1  2101   icms
3997261     4103 -      224  duratex s.a.                         12/06/2023        158.29   1  2501   compra de mercador
93020       4138 -      449  usina metais ltda.                   12/06/2023      3,465.91   1  2501   compra de mercador
36007       4139 -      187  floriatec comercial eirel i - epp    12/06/2023      1,571.60   1  2501   compra de mercador
327081      4167 -      165  elinox central de aço inox. ltda.    12/06/2023      6,461.76   1  2501   compra de mercador
254377      4188 -       11  komafer com de imp. e hidr. ltda.    12/06/2023        308.40   1  2501   compra de mercador
17879       4190 -      243  e trivilin & trivilin ltda.          12/06/2023        275.57   1  2501   compra de mercador
34499       4245 -      431  irmaos pupim cia ltda.               12/06/2023      1,370.35   1  2310   combustivel
461390      1742 -      215  expresso são miguel ltda.            13/06/2023        123.50   1  2502   pgto. frete compra
592375      1746 -      376  expresso são miguel ltda.            13/06/2023        155.50   1  2502   pgto. frete compra
48611       4097 -        2  ipc brasil imp. de prod. certificad  13/06/2023      2,629.42   1  2501   compra de mercador
3998290     4102 -      224  duratex s.a.                         13/06/2023         74.12   1  2501   compra de mercador
186574      4110 -      265  famabras ind. de apar. de medição l  13/06/2023      1,973.23   1  2501   compra de mercador
28794       4111 -      177  plasnox ind. com. de plasticos ltda  13/06/2023      2,374.80   1  2501   compra de mercador
241285      4144 -       19  metalurgica golden arts ltda.        13/06/2023      1,578.33   1  2501   compra de mercador
902772      4145 -        1  tuper s/a divisão de tubos           13/06/2023      1,681.84   1  2501   compra de mercador
241598      4150 -       19  metalurgica golden arts ltda.        13/06/2023      6,254.90   1  2501   compra de mercador
4018859     4155 -      224  duratex s.a.                         13/06/2023        130.48   1  2501   compra de mercador
147590      4168 -       88  diniz vedações industriais ltda.     13/06/2023      1,566.66   1  2501   compra de mercador
906742      4172 -        1  tuper s/a divisão de tubos           13/06/2023      2,219.09   1  2501   compra de mercador
91618       4182 -        6  rockfibras do brasil ind. e com. lt  13/06/2023      4,308.74   1  2501   compra de mercador
loja da caldeira
relatório contas a pagar
emitido em  4 de julho de 2023        às 09:38                                                        página:    3
agrupado por classificação e ordenado por data vecto
nr.docu  seq/parc    cód.fo  razão fornecedo                      data ve  vlr bruto     ep  cód.r  plano conta
-------  ----------  ------  -----------------------------------  -------  ------------  --  -----  ---------------------
4028737     4187 -      224  duratex s.a.                         13/06/2023        134.75   1  2501   compra de mercador
30503       4198 -      177  plasnox ind. com. de plasticos ltda  13/06/2023      1,078.42   1  2501   compra de mercador
243065      4200 -       19  metalurgica golden arts ltda.        13/06/2023      8,687.28   1  2501   compra de mercador
ir/2023     4255 -      359  fenix contabilidade                  13/06/2023        525.00   1  2314   escritorio / conta
4009341     4131 -      224  duratex s.a.                         14/06/2023        169.18   1  2501   compra de mercador
1263        4181 -      425  coziflan conexões do brasil ltda. -  14/06/2023      1,173.68   1  2501   compra de mercador
36352       4214 -      187  floriatec comercial eirel i - epp    14/06/2023      2,931.00   1  2501   compra de mercador
10379       1736 -       14  expresso nordeste linhas rodov. ltd  15/06/2023        106.14   1  2502   pgto. frete compra
10480       1739 -       14  expresso nordeste linhas rodov. ltd  15/06/2023        234.42   1  2502   pgto. frete compra
10485       1740 -       14  expresso nordeste linhas rodov. ltd  15/06/2023        279.34   1  2502   pgto. frete compra
2023        3889 -       50  loja da caldeira com de peças ltda.  15/06/2023          1.00   1  2315   comunicação
69829       1747 -       73  transportadora santanense ltda.      16/06/2023         90.91   1  2502   pgto. frete compra
18657       4223 -      457  polimentos inox pirani ltada me      16/06/2023      1,044.30   1  2207   serviços de tercei
2023        3890 -       50  loja da caldeira com de peças ltda.  17/06/2023        161.02   1  2304   água canalizada
903646      4153 -        1  tuper s/a divisão de tubos           17/06/2023      1,783.48   1  2501   compra de mercador
903648      4154 -        1  tuper s/a divisão de tubos           17/06/2023      3,149.84   1  2501   compra de mercador
93089       4165 -      449  usina metais ltda.                   17/06/2023      6,577.50   1  2501   compra de mercador
116900      4211 -      385  contuflex conexões e tubos flexivei  17/06/2023      6,271.11   1  2501   compra de mercador
187394      4159 -      265  famabras ind. de apar. de medição l  18/06/2023        847.80   1  2501   compra de mercador
360095      4218 -      384  shock metais não ferrosos ltda.      18/06/2023      2,834.21   1  2501   compra de mercador
4001996     4108 -      224  duratex s.a.                         19/06/2023      1,683.96   1  2501   compra de mercador
328914      4199 -      165  elinox central de aço inox. ltda.    19/06/2023     10,933.12   1  2501   compra de mercador
13298       4210 -      103  mce vedações ltda. - epp             19/06/2023        960.00   1  2501   compra de mercador
429593      4217 -      164  univar brasil ltda.                  19/06/2023      2,125.36   1  2501   compra de mercador
330454      4222 -      165  elinox central de aço inox. ltda.    19/06/2023      7,503.46   1  2501   compra de mercador
34594       4256 -      431  irmaos pupim cia ltda.               19/06/2023        600.91   1  2310   combustivel
240422      4116 -       19  metalurgica golden arts ltda.        20/06/2023      9,014.25   1  2501   compra de mercador
28920       4122 -      177  plasnox ind. com. de plasticos ltda  20/06/2023        229.27   1  2501   compra de mercador
2023        4143 -      279  loja da caldeira hidraulica industr  20/06/2023        465.00   1  2112   previdencia
